cpu,cuda,opencl
-25441.12448,-26385.43596,-16619.02064
-25433.85921,-26383.57125,-16616.29819
-25427.85282,-26383.10776,-16613.58631
-25421.47983,-26381.73075,-16610.64458
-25415.38894,-26381.58345,-16607.78736
-25409.45055,-26380.89369,-16606.28135
-25402.56414,-26379.89416,-16604.52666
-25396.24502,-26380.03177,-16602.74863
-25389.60928,-26380.30408,-16600.54371
-25384.52881,-26381.09696,-16598.46950
-25379.86018,-26382.15425,-16597.51313
-25372.70223,-26382.03905,-16595.84802
-25365.11527,-26381.79399,-16593.14016
-25357.98045,-26381.01821,-16589.02553
-25351.71193,-26381.92085,-16584.72816
-25345.66638,-26382.36387,-16580.66107
-25339.31627,-26383.66774,-16576.26552
-25332.37439,-26384.04164,-16571.84359
-25326.21047,-26383.96360,-16567.77436
-25320.15701,-26383.54925,-16563.95514
-25313.41102,-26381.97413,-16559.84499
-25307.27783,-26381.63064,-16555.28258
-25301.34058,-26380.53303,-16550.94560
-25294.83885,-26379.88089,-16545.51817
-25287.87014,-26378.61662,-16540.64999
-25280.33165,-26377.16245,-16537.09903
-25272.29545,-26376.03729,-16533.91625
-25264.34035,-26375.55127,-16530.82777
-25257.44005,-26374.94549,-16527.98379
-25250.66686,-26374.21703,-16525.15023
-25244.56679,-26372.98532,-16523.82251
-25239.03140,-26371.44001,-16522.31231
-25234.13235,-26368.32280,-16520.89160
-25230.70970,-26365.28930,-16520.18863
-25227.11183,-26362.85259,-16519.75001
-25224.37327,-26361.88681,-16520.93130
-25221.87436,-26361.23118,-16522.62273
-25218.88356,-26359.34738,-16523.93737
-25215.75451,-26356.18260,-16525.38757
-25212.22615,-26353.08277,-16526.68500
-25209.14843,-26350.10211,-16527.80580
-25204.25651,-26346.45266,-16528.69168
-25199.66736,-26343.29674,-16529.16670
-25194.98067,-26340.05638,-16529.66141
-25190.86022,-26336.28172,-16528.97211
-25186.67454,-26332.36757,-16527.78305
-25183.38108,-26328.58081,-16526.18814
-25180.31887,-26325.25449,-16524.07122
-25178.10415,-26322.32626,-16521.41445
-25176.16352,-26319.55623,-16518.09329
-25175.42637,-26316.32031,-16515.57796
-25175.47105,-26314.00299,-16513.00497
-25176.42698,-26311.69238,-16510.18406
-25176.49515,-26310.55498,-16508.15246
-25177.99464,-26310.06579,-16506.78775
-25178.45637,-26308.31786,-16504.50616
-25178.29579,-26306.61749,-16501.86021
-25177.49157,-26304.08261,-16498.98744
-25176.29763,-26301.19669,-16496.55847
-25175.74458,-26299.12225,-16494.73712
-25175.02289,-26296.47650,-16492.98380
-25174.68059,-26294.18503,-16490.35189
-25173.59939,-26291.25294,-16489.61857
-25172.19722,-26288.76699,-16489.19652
-25170.72725,-26286.19429,-16488.89688
-25169.77427,-26283.19886,-16488.95114
-25168.27825,-26279.73344,-16489.49178
-25166.55671,-26276.50944,-16490.00114
-25165.11675,-26273.20027,-16491.24380
-25163.85791,-26269.54516,-16493.68616
-25162.36245,-26265.56814,-16495.67733
-25161.34818,-26261.98146,-16496.95833
-25160.34326,-26258.95301,-16498.67010
-25159.17422,-26256.64563,-16500.84993
-25158.24174,-26254.09652,-16503.75166
-25157.43750,-26251.40543,-16507.21924
-25156.41541,-26248.50512,-16510.75911
-25156.10599,-26245.72239,-16514.30739
-25154.26283,-26242.44232,-16518.50929
-25153.14797,-26238.30424,-16522.99997
-25151.36553,-26234.08714,-16527.76017
-25149.49764,-26230.23054,-16532.45970
-25147.43078,-26225.55907,-16537.54411
-25144.84432,-26220.59818,-16542.06999
-25142.73666,-26215.72976,-16546.56283
-25140.20231,-26210.76727,-16551.37242
-25137.54219,-26206.26701,-16556.11952
-25134.91874,-26201.77985,-16560.76443
-25132.46626,-26197.09990,-16564.72182
-25128.33801,-26192.02730,-16567.26810
-25124.11376,-26186.82038,-16568.82136
-25119.84139,-26182.93534,-16571.12563
-25116.34257,-26180.13305,-16573.67696
-25112.64394,-26177.16693,-16575.99214
-25109.32146,-26174.47724,-16577.83167
-25106.00661,-26171.55526,-16579.79698
-25103.29797,-26169.00592,-16582.09129
-25100.56169,-26167.20873,-16584.52915
-25097.38663,-26165.00254,-16585.91660
-25094.51699,-26162.84046,-16586.59025
-25090.63272,-26160.83272,-16587.52389
-25087.50225,-26159.15542,-16588.34191
-25084.54517,-26157.60314,-16589.15423
-25081.37609,-26155.85021,-16590.30639
-25078.48462,-26154.38446,-16591.82277
-25076.61758,-26152.30544,-16593.67198
-25074.54228,-26150.96472,-16594.49450
-25072.35758,-26150.15830,-16594.52123
-25070.02257,-26148.89443,-16594.62180
-25067.55434,-26147.35172,-16594.33811
-25064.59166,-26146.19070,-16594.72423
-25062.43734,-26144.93291,-16594.56070
-25060.34714,-26143.54746,-16594.23165
-25058.24374,-26142.34715,-16593.84403
-25055.23942,-26141.40623,-16593.33521
-25052.42373,-26140.22602,-16593.29560
-25049.67169,-26140.19930,-16592.83864
-25046.84902,-26141.03258,-16592.79936
-25044.13320,-26141.88899,-16592.85368
-25040.87977,-26141.87349,-16592.25233
-25038.32032,-26141.49190,-16591.97358
-25035.71884,-26141.47060,-16591.78192
-25033.19125,-26141.72267,-16591.40788
-25030.02236,-26142.33938,-16592.03588
-25026.05234,-26142.39634,-16592.91384
-25022.10803,-26142.33914,-16593.20253
-25019.22815,-26142.06048,-16594.08600
-25016.38135,-26142.58271,-16594.98581
-25013.54169,-26143.69660,-16596.20943
-25010.48434,-26144.87774,-16595.69669
-25006.35605,-26145.70488,-16594.91931
-25003.20318,-26146.00089,-16594.35888
-25000.35708,-26146.20447,-16594.70950
-24996.89959,-26145.77330,-16594.80186
-24993.85748,-26145.55503,-16595.02348
-24990.60152,-26145.15302,-16595.87871
-24987.30447,-26144.81663,-16596.52713
-24984.52756,-26144.75042,-16597.85918
