3.00000 1291.40223 83.65138 -3253.74635
3.00100 1290.09833 82.76849 -3249.40013
3.00200 1288.79620 81.89064 -3245.06118
3.00300 1287.49582 81.01780 -3240.72947
3.00400 1286.19720 80.14995 -3236.40501
3.00500 1284.90033 79.28706 -3232.08777
3.00600 1283.60520 78.42910 -3227.77774
3.00700 1282.31182 77.57605 -3223.47491
3.00800 1281.02018 76.72788 -3219.17925
3.00900 1279.73028 75.88456 -3214.89076
3.01000 1278.44211 75.04608 -3210.60942
3.01100 1277.15568 74.21239 -3206.33522
3.01200 1275.87097 73.38349 -3202.06814
3.01300 1274.58800 72.55933 -3197.80817
3.01400 1273.30675 71.73991 -3193.55530
3.01500 1272.02721 70.92518 -3189.30950
3.01600 1270.74940 70.11513 -3185.07077
3.01700 1269.47330 69.30973 -3180.83909
3.01800 1268.19892 68.50896 -3176.61445
3.01900 1266.92624 67.71280 -3172.39684
3.02000 1265.65527 66.92120 -3168.18623
3.02100 1264.38601 66.13417 -3163.98262
3.02200 1263.11844 65.35166 -3159.78599
3.02300 1261.85258 64.57366 -3155.59632
3.02400 1260.58841 63.80013 -3151.41361
3.02500 1259.32593 63.03107 -3147.23784
3.02600 1258.06514 62.26643 -3143.06900
3.02700 1256.80604 61.50621 -3138.90707
3.02800 1255.54862 60.75038 -3134.75204
3.02900 1254.29288 59.99890 -3130.60389
3.03000 1253.03882 59.25177 -3126.46261
3.03100 1251.78644 58.50895 -3122.32819
3.03200 1250.53573 57.77043 -3118.20062
3.03300 1249.28668 57.03618 -3114.07987
3.03400 1248.03931 56.30617 -3109.96594
3.03500 1246.79360 55.58039 -3105.85881
3.03600 1245.54955 54.85882 -3101.75847
3.03700 1244.30716 54.14142 -3097.66491
3.03800 1243.06643 53.42818 -3093.57811
3.03900 1241.82735 52.71908 -3089.49806
3.04000 1240.58992 52.01410 -3085.42475
3.04100 1239.35413 51.31320 -3081.35816
3.04200 1238.12000 50.61638 -3077.29827
3.04300 1236.88750 49.92361 -3073.24508
3.04400 1235.65665 49.23486 -3069.19858
3.04500 1234.42743 48.55012 -3065.15874
3.04600 1233.19984 47.86936 -3061.12556
3.04700 1231.97389 47.19257 -3057.09902
3.04800 1230.74956 46.51972 -3053.07911
3.04900 1229.52686 45.85079 -3049.06582
3.05000 1228.30578 45.18576 -3045.05913
3.05100 1227.08633 44.52462 -3041.05903
3.05200 1225.86849 43.86733 -3037.06551
3.05300 1224.65227 43.21388 -3033.07855
3.05400 1223.43765 42.56425 -3029.09815
3.05500 1222.22465 41.91842 -3025.12428
3.05600 1221.01326 41.27636 -3021.15694
3.05700 1219.80347 40.63806 -3017.19611
3.05800 1218.59528 40.00351 -3013.24178
3.05900 1217.38869 39.37267 -3009.29394
3.06000 1216.18370 38.74552 -3005.35257
3.06100 1214.98030 38.12206 -3001.41766
3.06200 1213.77849 37.50226 -2997.48920
3.06300 1212.57827 36.88609 -2993.56718
3.06400 1211.37963 36.27355 -2989.65158
3.06500 1210.18258 35.66460 -2985.74239
3.06600 1208.98711 35.05924 -2981.83960
3.06700 1207.79322 34.45744 -2977.94319
3.06800 1206.60090 33.85919 -2974.05316
3.06900 1205.41016 33.26446 -2970.16948
3.07000 1204.22099 32.67324 -2966.29216
3.07100 1203.03338 32.08551 -2962.42117
3.07200 1201.84734 31.50124 -2958.55650
3.07300 1200.66286 30.92043 -2954.69814
3.07400 1199.47994 30.34305 -2950.84608
3.07500 1198.29858 29.76908 -2947.00031
3.07600 1197.11877 29.19851 -2943.16081
3.07700 1195.94051 28.63132 -2939.32757
3.07800 1194.76381 28.06749 -2935.50058
3.07900 1193.58865 27.50700 -2931.67983
3.08000 1192.41503 26.94984 -2927.86530
3.08100 1191.24296 26.39598 -2924.05699
3.08200 1190.07243 25.84542 -2920.25487
3.08300 1188.90343 25.29812 -2916.45894
3.08400 1187.73597 24.75408 -2912.66919
3.08500 1186.57004 24.21328 -2908.88560
3.08600 1185.40564 23.67570 -2905.10816
3.08700 1184.24276 23.14132 -2901.33686
3.08800 1183.08141 22.61013 -2897.57169
3.08900 1181.92159 22.08211 -2893.81264
3.09000 1180.76328 21.55724 -2890.05969
3.09100 1179.60648 21.03551 -2886.31283
3.09200 1178.45121 20.51689 -2882.57205
3.09300 1177.29744 20.00138 -2878.83734
3.09400 1176.14518 19.48895 -2875.10868
3.09500 1174.99443 18.97960 -2871.38607
3.09600 1173.84519 18.47330 -2867.66950
3.09700 1172.69744 17.97003 -2863.95894
3.09800 1171.55120 17.46979 -2860.25439
3.09900 1170.40645 16.97255 -2856.55584
3.10000 1169.26320 16.47830 -2852.86328
3.10100 1168.12144 15.98702 -2849.17669
3.10200 1166.98117 15.49871 -2845.49606
3.10300 1165.84238 15.01333 -2841.82138
3.10400 1164.70508 14.53088 -2838.15265
3.10500 1163.56927 14.05134 -2834.48984
3.10600 1162.43493 13.57470 -2830.83295
3.10700 1161.30207 13.10094 -2827.18196
3.10800 1160.17069 12.63004 -2823.53686
3.10900 1159.04077 12.16199 -2819.89765
3.11000 1157.91233 11.69677 -2816.26431
3.11100 1156.78536 11.23438 -2812.63683
3.11200 1155.65985 10.77479 -2809.01519
3.11300 1154.53581 10.31799 -2805.39939
3.11400 1153.41322 9.86396 -2801.78942
3.11500 1152.29210 9.41269 -2798.18526
3.11600 1151.17243 8.96417 -2794.58691
3.11700 1150.05421 8.51838 -2790.99434
3.11800 1148.93745 8.07531 -2787.40756
3.11900 1147.82213 7.63494 -2783.82654
3.12000 1146.70826 7.19726 -2780.25128
