#step #energy #coulombic #rd #polar #vdw #kinetic #kin_temp #N #spin_ratio #volume #core_temp
0 -128936.264377 -8861.486645 -93916.094138 -26158.683594 0.000000 0.000000 0.000000 156.000000 0.000000 11324.989599 77.000000
10 -129031.202321 -8949.251969 -93798.850742 -26283.099609 0.000000 0.000000 0.000000 156.000000 0.000000 11324.989599 77.000000
20 -128927.463228 -8918.600961 -93762.313439 -26246.548828 0.000000 0.000000 0.000000 156.000000 0.000000 11324.989599 77.000000
30 -128939.512094 -9074.189804 -93729.117212 -26136.205078 0.000000 0.000000 0.000000 156.000000 0.000000 11324.989599 77.000000
40 -128722.445179 -9063.024095 -93435.380069 -26224.041016 0.000000 0.000000 0.000000 156.000000 0.000000 11324.989599 77.000000
50 -128712.383904 -8996.760339 -93420.791534 -26294.832031 0.000000 0.000000 0.000000 156.000000 0.000000 11324.989599 77.000000
