#step #energy #coulombic #rd #polar #vdw #kinetic #kin_temp #N #spin_ratio #volume #core_temp
0 -22.738394 1.993547 -24.673480 -0.058461 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
10 -20.130862 7.703336 -27.716264 -0.117933 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
20 -29.397032 -2.228059 -27.074095 -0.094878 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
30 -20.144541 5.679883 -25.752802 -0.071623 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
40 -32.773856 -4.962387 -27.678299 -0.133170 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
50 -20.931279 -1.182499 -19.705899 -0.042881 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
