3.00000 -628.62486 44.03469 -3268.45964
3.00100 -628.00139 43.37688 -3264.07185
3.00200 -627.37874 42.72286 -3259.69145
3.00300 -626.75691 42.07262 -3255.31844
3.00400 -626.13590 41.42614 -3250.95279
3.00500 -625.51571 40.78340 -3246.59449
3.00600 -624.89634 40.14438 -3242.24353
3.00700 -624.27778 39.50906 -3237.89989
3.00800 -623.66004 38.87742 -3233.56356
3.00900 -623.04311 38.24944 -3229.23451
3.01000 -622.42699 37.62510 -3224.91275
3.01100 -621.81168 37.00438 -3220.59825
3.01200 -621.19719 36.38727 -3216.29099
3.01300 -620.58350 35.77374 -3211.99097
3.01400 -619.97062 35.16378 -3207.69816
3.01500 -619.35854 34.55736 -3203.41256
3.01600 -618.74726 33.95448 -3199.13415
3.01700 -618.13679 33.35510 -3194.86291
3.01800 -617.52712 32.75922 -3190.59883
3.01900 -616.91825 32.16681 -3186.34189
3.02000 -616.31018 31.57786 -3182.09209
3.02100 -615.70291 30.99234 -3177.84941
3.02200 -615.09643 30.41025 -3173.61382
3.02300 -614.49075 29.83155 -3169.38532
3.02400 -613.88586 29.25624 -3165.16390
3.02500 -613.28176 28.68430 -3160.94953
3.02600 -612.67846 28.11571 -3156.74222
3.02700 -612.07594 27.55044 -3152.54193
3.02800 -611.47421 26.98850 -3148.34865
3.02900 -610.87327 26.42984 -3144.16238
3.03000 -610.27312 25.87447 -3139.98310
3.03100 -609.67375 25.32236 -3135.81079
3.03200 -609.07516 24.77349 -3131.64544
3.03300 -608.47735 24.22786 -3127.48704
3.03400 -607.88033 23.68543 -3123.33557
3.03500 -607.28408 23.14620 -3119.19102
3.03600 -606.68862 22.61015 -3115.05337
3.03700 -606.09392 22.07725 -3110.92262
3.03800 -605.50001 21.54751 -3106.79874
3.03900 -604.90687 21.02089 -3102.68172
3.04000 -604.31450 20.49738 -3098.57155
3.04100 -603.72290 19.97697 -3094.46822
3.04200 -603.13208 19.45964 -3090.37171
3.04300 -602.54202 18.94537 -3086.28200
3.04400 -601.95273 18.43415 -3082.19909
3.04500 -601.36421 17.92596 -3078.12296
3.04600 -600.77646 17.42079 -3074.05360
3.04700 -600.18947 16.91861 -3069.99099
3.04800 -599.60324 16.41942 -3065.93512
3.04900 -599.01777 15.92320 -3061.88598
3.05000 -598.43306 15.42994 -3057.84355
3.05100 -597.84912 14.93961 -3053.80782
3.05200 -597.26593 14.45220 -3049.77878
3.05300 -596.68350 13.96770 -3045.75641
3.05400 -596.10182 13.48609 -3041.74069
3.05500 -595.52090 13.00736 -3037.73163
3.05600 -594.94073 12.53149 -3033.72920
3.05700 -594.36131 12.05847 -3029.73338
3.05800 -593.78265 11.58828 -3025.74418
3.05900 -593.20473 11.12090 -3021.76156
3.06000 -592.62756 10.65633 -3017.78553
3.06100 -592.05114 10.19455 -3013.81606
3.06200 -591.47547 9.73554 -3009.85315
3.06300 -590.90054 9.27928 -3005.89678
3.06400 -590.32635 8.82578 -3001.94694
3.06500 -589.75291 8.37500 -2998.00361
3.06600 -589.18021 7.92694 -2994.06678
3.06700 -588.60824 7.48158 -2990.13645
3.06800 -588.03702 7.03891 -2986.21258
3.06900 -587.46653 6.59891 -2982.29519
3.07000 -586.89678 6.16157 -2978.38424
3.07100 -586.32777 5.72687 -2974.47973
3.07200 -585.75949 5.29481 -2970.58164
3.07300 -585.19194 4.86536 -2966.68997
3.07400 -584.62512 4.43852 -2962.80470
3.07500 -584.05904 4.01427 -2958.92581
3.07600 -583.49368 3.59260 -2955.05329
3.07700 -582.92905 3.17349 -2951.18714
3.07800 -582.36515 2.75693 -2947.32734
3.07900 -581.80198 2.34291 -2943.47387
3.08000 -581.23952 1.93141 -2939.62673
3.08100 -580.67780 1.52242 -2935.78590
3.08200 -580.11679 1.11593 -2931.95136
3.08300 -579.55651 0.71193 -2928.12311
3.08400 -578.99694 0.31039 -2924.30114
3.08500 -578.43810 -0.08869 -2920.48543
3.08600 -577.87997 -0.48532 -2916.67596
3.08700 -577.32256 -0.87952 -2912.87274
3.08800 -576.76586 -1.27130 -2909.07573
3.08900 -576.20988 -1.66067 -2905.28494
3.09000 -575.65461 -2.04765 -2901.50035
3.09100 -575.10006 -2.43224 -2897.72195
3.09200 -574.54621 -2.81447 -2893.94972
3.09300 -573.99308 -3.19433 -2890.18365
3.09400 -573.44065 -3.57186 -2886.42374
3.09500 -572.88893 -3.94705 -2882.66996
3.09600 -572.33792 -4.31992 -2878.92232
3.09700 -571.78761 -4.69048 -2875.18078
3.09800 -571.23800 -5.05874 -2871.44535
3.09900 -570.68910 -5.42472 -2867.71601
3.10000 -570.14090 -5.78843 -2863.99275
3.10100 -569.59340 -6.14988 -2860.27555
3.10200 -569.04660 -6.50908 -2856.56441
3.10300 -568.50050 -6.86604 -2852.85932
3.10400 -567.95510 -7.22078 -2849.16025
3.10500 -567.41039 -7.57330 -2845.46720
3.10600 -566.86638 -7.92362 -2841.78017
3.10700 -566.32306 -8.27175 -2838.09912
3.10800 -565.78043 -8.61770 -2834.42406
3.10900 -565.23850 -8.96149 -2830.75498
3.11000 -564.69726 -9.30312 -2827.09185
3.11100 -564.15670 -9.64260 -2823.43467
3.11200 -563.61684 -9.97995 -2819.78343
3.11300 -563.07766 -10.31518 -2816.13811
3.11400 -562.53917 -10.64829 -2812.49871
3.11500 -562.00137 -10.97931 -2808.86521
3.11600 -561.46424 -11.30824 -2805.23761
3.11700 -560.92780 -11.63508 -2801.61588
3.11800 -560.39205 -11.95987 -2798.00002
3.11900 -559.85697 -12.28259 -2794.39001
