#step #energy #coulombic #rd #polar #vdw #kinetic #kin_temp #N #spin_ratio #volume #core_temp
0 -22.738438 1.993547 -24.673480 -0.058505 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
10 -27.757340 -1.955633 -25.704985 -0.096722 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
20 -30.672742 -2.942068 -27.624079 -0.106595 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
30 -18.222541 7.913463 -25.994113 -0.141891 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
40 -13.530449 6.751681 -19.897656 -0.384474 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
50 -6.572083 -1.940586 -4.376251 -0.255245 0.000000 0.000000 0.000000 2.000000 0.000000 11324.989599 77.000000
